"User_id","Session_id","Time_begin","Time_end"
"0","124","2018-10-26-09:31","2019-08-07-11:31"
"0","158","2018-04-27-06:30","2019-09-01-11:30"
"0","190","2018-11-17-09:30","2019-01-07-07:31"
"1","101","2018-03-20-12:31","2019-03-01-02:31"
"1","115","2018-02-21-11:28","2019-08-24-08:31"
"1","136","2018-06-15-05:30","2019-01-13-01:31"
"1","144","2018-03-20-04:31","2019-03-02-05:31"
"1","188","2018-03-19-05:31","2019-08-02-04:31"
"2","116","2018-05-13-10:31","2019-05-24-06:31"
"2","122","2018-01-14-11:31","2019-08-15-05:31"
"2","144","2018-07-12-07:31","2019-04-11-02:30"
"2","148","2018-12-30-05:31","2019-05-09-03:31"
"3","106","2018-09-11-07:30","2019-02-23-01:28"
"3","113","2018-12-06-09:31","2019-09-28-02:30"
"3","123","2018-11-13-09:30","2019-11-30-12:30"
"3","148","2018-09-21-09:30","2019-03-24-11:31"
"3","156","2018-05-30-10:31","2019-05-08-04:31"
"3","171","2018-08-29-10:31","2019-11-21-01:30"
"3","194","2018-10-20-01:31","2019-03-10-08:31"
"4","134","2018-08-23-08:31","2019-11-11-11:30"
"4","161","2018-09-17-01:30","2019-06-21-01:30"
"4","171","2018-12-12-12:31","2019-08-26-05:31"
"4","173","2018-10-26-04:31","2019-11-06-10:30"
"4","185","2018-06-14-02:30","2019-06-23-02:30"
"5","102","2018-12-10-10:31","2019-10-11-10:31"
"5","105","2018-09-22-12:30","2019-03-02-12:31"
"5","137","2018-08-04-12:31","2019-06-30-04:30"
"5","177","2018-01-25-03:31","2019-08-15-08:31"
"6","135","2018-12-08-07:31","2019-09-14-08:30"
"6","156","2018-06-05-10:30","2019-01-25-01:31"
"6","161","2018-11-11-06:30","2019-09-26-11:30"
"6","166","2018-09-24-03:30","2019-04-10-07:30"
"7","113","2018-02-12-01:28","2019-08-31-04:31"
"7","126","2018-01-25-11:31","2019-05-16-12:31"
"7","138","2018-06-16-08:30","2019-03-16-01:31"
"7","140","2018-08-04-06:31","2019-10-20-11:31"
"7","143","2018-05-26-01:31","2019-05-09-05:31"
"7","147","2018-08-04-10:31","2019-05-25-12:31"
"7","162","2018-08-29-04:31","2019-07-25-06:31"
"7","175","2018-02-04-03:28","2019-03-19-02:31"
"7","178","2018-08-27-05:31","2019-02-24-03:28"
"8","103","2018-10-29-04:31","2019-06-28-01:30"
"8","123","2018-06-24-06:30","2019-04-29-12:30"
"8","158","2018-07-04-06:31","2019-05-03-04:31"
"9","106","2018-12-02-08:31","2019-06-18-03:30"
"9","108","2018-12-19-06:31","2019-01-14-10:31"
"9","143","2018-02-25-05:28","2019-05-12-06:31"
"9","188","2018-07-05-03:31","2019-10-08-12:31"
"10","122","2018-10-08-02:31","2019-09-14-03:30"
"10","175","2018-03-27-12:31","2019-06-07-06:30"
"10","186","2018-12-15-03:31","2019-01-19-06:31"
"10","193","2018-12-31-01:31","2019-12-22-03:31"
"11","116","2018-06-28-08:30","2019-04-25-06:30"
"11","126","2018-10-10-08:31","2019-03-06-08:31"
"11","133","2018-12-27-12:31","2019-05-27-09:31"
"11","139","2018-05-17-04:31","2019-08-24-01:31"
"11","146","2018-10-28-04:31","2019-08-16-05:31"
"11","179","2018-04-28-09:30","2019-07-17-03:31"
"11","184","2018-07-26-02:31","2019-11-11-02:30"
"12","103","2018-03-07-01:31","2019-05-05-05:31"
"12","112","2018-10-06-03:31","2019-04-22-05:30"
"12","144","2018-08-05-04:31","2019-01-15-01:31"
"12","154","2018-12-20-08:31","2019-09-21-01:30"
"12","175","2018-02-05-04:28","2019-01-25-08:31"
"13","103","2018-05-19-04:31","2019-02-04-02:28"
"13","118","2018-07-15-03:31","2019-05-11-12:31"
"13","124","2018-03-12-02:31","2019-09-25-04:30"
"13","127","2018-04-29-05:30","2019-10-25-09:31"
"13","137","2018-05-21-09:31","2019-01-26-07:31"
"14","106","2018-09-30-02:30","2019-08-28-11:31"
"14","132","2018-02-15-03:28","2019-03-16-09:31"
"14","144","2018-07-18-11:31","2019-03-20-07:31"
"14","161","2018-05-04-09:31","2019-06-18-06:30"
"14","173","2018-12-07-06:31","2019-06-06-11:30"
"14","196","2018-06-29-06:30","2019-05-15-11:31"
"15","102","2018-10-16-12:31","2019-02-25-09:28"
"15","105","2018-06-30-01:30","2019-07-04-05:31"
"15","172","2018-06-08-08:30","2019-12-25-09:31"
"15","199","2018-08-21-01:31","2019-07-14-10:31"
"16","103","2018-08-06-07:31","2019-12-17-12:31"
"16","136","2018-03-24-06:31","2019-02-11-03:28"
"16","148","2018-11-09-01:30","2019-06-13-10:30"
"16","155","2018-04-27-05:30","2019-11-09-12:30"
"16","182","2018-06-23-05:30","2019-02-18-05:28"
"17","107","2018-02-09-12:28","2019-04-04-05:30"
"17","127","2018-12-03-05:31","2019-03-23-09:31"
"17","133","2018-07-09-02:31","2019-12-02-06:31"
"17","143","2018-04-17-03:30","2019-01-13-06:31"
"17","158","2018-12-31-05:31","2019-10-30-03:31"
"17","167","2018-05-19-07:31","2019-08-19-06:31"
"17","196","2018-08-18-05:31","2019-01-24-05:31"
"17","198","2018-12-29-12:31","2019-11-10-06:30"
"18","133","2018-08-27-05:31","2019-02-12-07:28"
"18","134","2018-06-04-05:30","2019-11-10-08:30"
"18","166","2018-09-11-01:30","2019-04-15-02:30"
"18","174","2018-11-09-02:30","2019-06-25-10:30"
"19","114","2018-02-16-01:28","2019-07-19-05:31"
"19","144","2018-06-23-12:30","2019-12-25-08:31"
"19","167","2018-10-27-04:31","2019-06-14-03:30"
"19","180","2018-10-03-04:31","2019-10-21-12:31"
"20","125","2018-06-21-01:30","2019-08-19-08:31"
"20","126","2018-07-22-03:31","2019-09-07-01:30"
"20","160","2018-04-19-12:30","2019-03-29-04:31"
"20","163","2018-06-12-02:30","2019-07-25-07:31"
"20","164","2018-05-03-04:31","2019-06-02-07:30"
"20","177","2018-06-24-12:30","2019-01-03-11:31"
"20","185","2018-05-18-08:31","2019-12-01-05:31"
"20","192","2018-10-31-12:31","2019-08-25-03:31"
"21","109","2018-04-15-07:30","2019-08-13-12:31"
"21","111","2018-10-26-07:31","2019-10-15-01:31"
"21","128","2018-04-22-05:30","2019-01-22-09:31"
"21","185","2018-07-02-06:31","2019-07-27-09:31"
"21","191","2018-04-03-03:30","2019-07-07-01:31"
"22","106","2018-09-13-08:30","2019-06-11-08:30"
"22","116","2018-03-01-05:31","2019-03-12-11:31"
"22","119","2018-03-26-09:31","2019-12-03-11:31"
"23","124","2018-07-02-06:31","2019-03-26-07:31"
"23","199","2018-05-29-06:31","2019-12-21-11:31"
"24","122","2018-04-08-06:30","2019-04-14-12:30"
"25","101","2018-08-07-07:31","2019-12-11-02:31"
"25","102","2018-08-08-08:31","2019-07-31-05:31"
"25","107","2018-03-09-12:31","2019-07-12-06:31"
"25","125","2018-08-29-12:31","2019-08-14-02:31"
"25","174","2018-08-10-02:31","2019-08-03-09:31"
"25","179","2018-07-13-08:31","2019-12-18-12:31"
"25","198","2018-11-12-04:30","2019-09-11-06:30"
"26","115","2018-12-27-12:31","2019-11-13-08:30"
"27","150","2018-05-12-08:31","2019-08-09-08:31"
"28","117","2018-02-22-03:28","2019-09-07-04:30"
"28","137","2018-02-24-03:28","2019-09-24-05:30"
